Date,Close/Last,Volume,Open,High,Low
11/28/2023,93.38,13563430,92.86,93.4099,92.81
11/27/2023,92.97,9539761,92.55,92.975,92.485
11/24/2023,92.27,4125818,92.35,92.42,92.255
11/22/2023,92.75,7255180,92.92,92.99,92.52
11/21/2023,92.78,9153441,92.77,92.91,92.54
11/20/2023,92.66,7481261,92.34,92.7201,92.3101
11/17/2023,92.53,8462016,92.58,92.63,92.345
11/16/2023,92.47,10375700,92.32,92.61,92.31
11/15/2023,91.78,12969430,92.05,92.06,91.695
11/14/2023,92.50,14313580,92.43,92.565,92.28
11/13/2023,91.13,8930210,90.83,91.1558,90.685
11/10/2023,91.18,10675220,91.46,91.475,91.08
11/09/2023,91.08,17067910,91.83,91.84,91.025
11/08/2023,91.99,11117610,91.64,92.075,91.63
11/07/2023,91.62,13189640,91.39,91.815,91.39
11/06/2023,91.10,11246680,91.29,91.32,90.995
11/03/2023,91.63,23133730,92.04,92.24,91.62
11/02/2023,90.93,14046260,91.06,91.22,90.725
11/01/2023,90.37,22448890,89.60,90.42,89.555
10/31/2023,89.59,11574740,89.83,90.02,89.57
10/30/2023,89.78,11022500,89.64,89.93,89.48
10/27/2023,90.08,11628240,89.87,90.085,89.705
10/26/2023,89.94,15901250,89.35,89.9754,89.33
10/25/2023,89.26,15170220,89.58,89.61,89.15
10/24/2023,90.05,10906210,89.82,90.06,89.61
10/23/2023,89.89,12365030,89.15,90.00,89.01
10/20/2023,89.465,12587090,89.27,89.60,89.25
10/19/2023,88.95,27116690,89.14,89.50,88.855
10/18/2023,89.39,13794270,89.56,89.69,89.235
10/17/2023,89.81,11191780,89.90,90.04,89.645
10/16/2023,90.70,7248036,90.705,90.77,90.58
10/13/2023,91.24,9873609,91.32,91.355,91.06
10/12/2023,90.66,12856110,91.34,91.39,90.545
10/11/2023,91.54,14815770,91.40,91.60,91.20
10/10/2023,91.04,11508310,90.76,91.29,90.65
10/09/2023,91.22,5816713,90.75,91.22,90.605
10/06/2023,90.07,12257100,89.77,90.355,89.685
10/05/2023,90.60,11315860,90.64,90.66,90.414
10/04/2023,90.43,14054040,90.135,90.48,89.9328
10/03/2023,89.86,21364800,90.42,90.59,89.81
10/02/2023,90.61,21010030,90.89,90.99,90.495
09/29/2023,91.59,13488330,91.95,92.04,91.45
09/28/2023,91.57,11654610,91.11,91.59,90.853
09/27/2023,91.32,10586300,91.97,92.01,91.075
09/26/2023,91.73,8281800,91.93,91.99,91.6237
09/25/2023,91.76,11712010,91.85,92.02,91.7246
09/22/2023,92.44,8637839,92.17,92.52,92.095
09/21/2023,92.08,8707579,92.13,92.22,92.0201
09/20/2023,92.77,10752260,93.10,93.2353,92.75
09/19/2023,92.84,7537027,92.97,93.14,92.80
09/18/2023,93.18,4622245,92.97,93.245,92.97
09/15/2023,93.09,9367838,93.225,93.285,93.021
09/14/2023,93.38,6421038,93.66,93.74,93.32
09/13/2023,93.59,6675435,93.335,93.72,93.3155
09/12/2023,93.48,4998480,93.38,93.495,93.27
09/11/2023,93.35,4321699,93.31,93.435,93.24
09/08/2023,93.51,4648504,93.72,93.86,93.465
09/07/2023,93.49,7137513,93.39,93.53,93.29
09/06/2023,93.17,7344118,93.57,93.585,93.1204
09/05/2023,93.41,4993448,93.71,93.72,93.37
09/01/2023,93.98,7746609,94.57,94.58,93.86
08/31/2023,94.80,6167266,94.72,94.94,94.63
08/30/2023,94.61,6346718,94.74,94.79,94.5545
08/29/2023,94.62,7064217,93.73,94.66,93.711
08/28/2023,93.95,3301686,93.91,93.98,93.71
08/25/2023,93.69,7895753,93.59,93.93,93.34
08/24/2023,93.72,5735830,93.78,94.05,93.694
08/23/2023,94.07,8550555,93.625,94.07,93.595
08/22/2023,93.06,6331000,92.94,93.16,92.845
08/21/2023,93.02,10863980,93.16,93.20,92.91
08/18/2023,93.60,7510525,93.49,93.81,93.44
08/17/2023,93.32,9858385,93.405,93.47,93.0637
08/16/2023,93.44,7199622,93.775,94.00,93.3732
08/15/2023,93.80,9602560,93.88,94.1755,93.75
08/14/2023,93.98,6218447,93.98,94.2553,93.775
08/11/2023,94.13,5915033,94.24,94.5621,94.09
08/10/2023,94.63,8462102,95.36,95.538,94.62
08/09/2023,95.36,5317352,95.30,95.5156,95.26
08/08/2023,95.30,5401492,95.31,95.54,95.19
08/07/2023,94.82,4007413,94.93,94.98,94.7122
08/04/2023,95.05,10190060,94.40,95.13,94.40
08/03/2023,94.05,11058190,94.11,94.245,93.9602
08/02/2023,94.75,8009186,94.66,94.785,94.36
08/01/2023,94.94,7714495,95.04,95.18,94.78
07/31/2023,95.74,6347597,95.58,95.905,95.57
07/28/2023,95.62,5794206,95.53,95.74,95.44
07/27/2023,95.31,8522842,95.99,96.10,95.175
07/26/2023,96.36,4880153,96.25,96.41,95.97
07/25/2023,96.03,4079509,95.83,96.0855,95.82
07/24/2023,96.21,7451172,96.61,96.71,96.17
07/21/2023,96.44,4560175,96.57,96.66,96.41
07/20/2023,96.36,9486701,96.63,96.67,96.19
07/19/2023,97.13,5059394,96.975,97.19,96.79
07/18/2023,96.80,3626466,97.00,97.12,96.7401
07/17/2023,96.69,3182374,96.60,96.775,96.48
07/14/2023,96.53,7491062,96.80,96.915,96.4925
